title;id;price;sale price;availability;image link;additional image link;all clicks;brand;color;cost of goods sold;custom label 0;custom label 1;custom label 2;custom label 3;custom label 4;description;google product category;gtin;identifier exists;link;material;mpn;product height;product highlight;product length;product type;product weight;product width
"Vestil All Terrain Manual Pallet Jack, 2000 lb. Capacity, 65""W x 48""L Forks";988807;1949.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/31962414.jpg;;1 986;Vestil;Yellow;;in stock;Bury;0;Fixed Freight;Standard;"All Terrain, pneumatic tire Pallet Truck & Skid Jack is ideal for use at construction sites, lumber yards, nurseries and golf courses, as the huge load and steer wheels roll smoothly over rough and uneven surfaces. Sealed wheel bearings offer extended life in outdoor use. Strong welded steel frame. Operates like a standard pallet truck skid jack with pump handle and 3-function hand control (raise, neutral, lower). 15"" pneumatic load wheels, 10"" pneumatic steer wheels and 48""L x 4""W forks that adjust from 9-1/2"" to 26"" wide. 65""W x 63""L overall with 48"" usable straddle width between outriggers. 3"" lowered height, 9"" raised height and 120 steer arc. 2000 lb. capacity at 12"" load center; 1500 lb. at 15"" load center; 1000 lb. at 24"" load center.";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;691215112550;yes;https://www.globalindustrial.com/p/vestil-all-terrain-pallet-jack-truck-all-t-2-48-48-l-forks-2000-lb-capacity;Steel;ALL-T-2-48;51 in;;63 in;Pallet Jacks & Trucks > All Terrain Pallet Jack Trucks > Carts & Trucks;;65 in
"High-Capacity Manual Pallet Jack, 11000 lb. Capacity, 23""W x 45-1/2""L Forks Global Industrial";241637;1199.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/241637_04.jpg;https://images.globalindustrial.com/images/500x500/241637.jpg,https://images.globalindustrial.com/images/500x500/241637_01.jpg,https://images.globalindustrial.com/images/500x500/241637_02.jpg,https://images.globalindustrial.com/images/500x500/241637_03.jpg,https://images.globalindustrial.com/images/500x500/241637_04.jpg,https://images.globalindustrial.com/images/500x500/241637_05.jpg,https://images.globalindustrial.com/images/500x500/241637_06.jpg,https://images.globalindustrial.com/images/500x500/241637_07.jpg;1 981;Global Industrial;Yellow;;in stock;Boost;1000+;Fixed Freight;[Exclusive Brands];"&checkmark; 11,000 lb. weight capacity   &checkmark; 23""W x 45-1/2""L with tapered forks   &checkmark; 3-function hand control (raise, neutral, lower)      Leave the heavy lifting to this Global Industrial High-Capacity Pallet Jack Truck. This heavy-duty truck has a double-channel reinforced structural steel frame and handles loads up to 5.5 tons. Its steel steer wheels and twin steel load rollers ensure secure load movement in all environments, while its adjustable steel tie rods maintain proper roll-ability in the toughest terrains. Featuring a solid steel pump mount, an extra heavy-duty pump with high-pressure seals, and a hardened chrome plated piston, this pallet jack is built to last. Limited 1-Year Warranty.       Durable powder coat finish";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;707022045605;yes;https://www.globalindustrial.com/p/high-capacity-pallet-truck-pallet-jack-11-000-pound-capacity;Steel;241637;51.5 in;"23""W x 45-1/2""L with tapered forks,""3-function hand control (raise, neutral, lower)"",""11,000 lb. weight capacity""";60 in;Pallet Jacks & Trucks > Manual Pallet Jacks & Trucks > Carts & Trucks;;23 in
8' Rectangular Picnic Table, Expanded Metal, Black Global Industrial;277153BK;949.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/277153BK.jpg;https://images.globalindustrial.com/images/500x500/277153BK.jpg,https://images.globalindustrial.com/images/500x500/277153BK_01.jpg,https://images.globalindustrial.com/images/500x500/277153BK_02.jpg,https://images.globalindustrial.com/images/500x500/277153BK_03.jpg,https://images.globalindustrial.com/images/500x500/277153BK_04.jpg,https://images.globalindustrial.com/images/500x500/277153BK_05.jpg,https://images.globalindustrial.com/images/500x500/277153BK_06.jpg,https://images.globalindustrial.com/images/500x500/277153BK_07.jpg;1 955;Global Industrial;Black;;in stock;Boost;1000+;[Furniture & Decor] {3};[Exclusive Brands];"&checkmark; 1000-pound weight capacity  &checkmark; Thermoplastic coating on seats and tabletop stays cool in full sun  &checkmark; Strong, lightweight expanded metal mesh promotes air flow    The black expanded metal Global Industrial 8' Rectangular Outdoor Steel Picnic Table is a heavy-duty seating option that is ideal for schools, camps, parks, break areas, and any outdoor environment requiring seating or dining options. Its expanded metal mesh seats & tabletop helps to reduce weight without sacrificing strength or durability while helping to promote air flow, prevent snow or dust accumulation and limiting moisture & standing water. The seats & tabletop are covered in a smooth, glossy black thermoplastic material that is fade- & corrosion-resistant and remains cool to the touch even in direct sun, and its tubular steel frame is finished in a matching black scratch- & corrosion-resistant powder coat. Limited 7-Year Warranty.    Tabletop accepts umbrella poles up to 1-1/2 diameter Beveled seat and tabletop corners for safety Pre-drilled mounting brackets to permanently install on any surface Includes all assembly hardware Tabletop measures 96 wide and 30 deep 17 seat height from ground 12 seat depth";4299;707022030755;yes;https://www.globalindustrial.com/p/96in-rectangular-metal-mesh-picnic-table-black;Expanded Metal;277153BK;29.5 in;"1000-pound weight capacity,Thermoplastic coating on seats and tabletop stays cool in full sun,""Strong, lightweight expanded metal mesh promotes air flow""";96 in;Outdoor Furniture > Outdoor Tables > Picnic Tables > Metal Picnic Tables > Furniture & Decor;;62 in
Mitutoyo 500-196-30 Digimatic 0-6''/150MM Stainless Steel Digital Caliper;534250;159.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/31379285.jpg;https://images.globalindustrial.com/images/500x500/534250.jpg,https://images.globalindustrial.com/images/500x500/534250_01.jpg,https://images.globalindustrial.com/images/500x500/534250_02.jpg,https://images.globalindustrial.com/images/500x500/534250_03.jpg,https://images.globalindustrial.com/images/500x500/534250_04.jpg,https://images.globalindustrial.com/images/500x500/534250_05.jpg;1 920;Mitutoyo;;;in stock;Boost;R3Essentials;[Tools & Instruments] {2};Standard;"Measure objects within certain limits with the Mitutoyo 500-196-30 ABSOLUTE Digimatic 6"" Digital Caliper. It includes a large and clear LCD readout, carbide-tipped jaw type calipers, and up to 20,000 hours of battery life when used under normal conditions. The ZERO/ABS key allows the display to be zero-set at any slider position along the scale for incremental comparison measurements. This switch will also allow return to the absolute (ABS) coordinate and display the true position from the origin point (usually jaws-closed point). Hardened stainless steel construction with 4-way measurement, OD, ID, depth, step provides years of reliable use. Comes with a fitted plastic case for easy storage and transport. 1-Year Limited Warranty.";Business & Industrial;4946368667751;yes;https://www.globalindustrial.com/p/mitutoyo-500-196-30-0-6-digimatic-digital-caliper;;500-196-30;;;;Measurement & Layout Tools > Calipers > Tools & Instruments;;
"Industrial Duty Manual Pallet Jack, 5500 lb. Capacity, 27""W x 42""L Forks Global Industrial";251783;405.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/334475.jpg;https://images.globalindustrial.com/images/500x500/334475.jpg,https://images.globalindustrial.com/images/500x500/334475_01.jpg,https://images.globalindustrial.com/images/500x500/334475_02.jpg,https://images.globalindustrial.com/images/500x500/334475_03.jpg,https://images.globalindustrial.com/images/500x500/334475_04.jpg,https://images.globalindustrial.com/images/500x500/334475_05.jpg,https://images.globalindustrial.com/images/500x500/334475_06.jpg,https://images.globalindustrial.com/images/500x500/334475_07.jpg;1 853;Global Industrial;Yellow;;in stock;Boost;0;[Carts & Trucks] {1};[Exclusive Brands];"&checkmark; 5500 lb. weight capacity   &checkmark; Reinforced for heavy-duty loads    &checkmark; 3-function hand control (raise, neutral and lower) with safety loop        Loading in the warehouse just got easier with this Global Industrial Industrial Duty Pallet Jack Truck. Designed to do all the backbreaking work, this truck raises and lowers pallets or skids with ease, handling up to 5,500 lbs. Industrial duty pallet jacks have a more premium pump piston which allows for a higher duty cycle. Frame and forks are thicker than standard duty jacks allowing for a more robust build quality. Ideal for use in construction, manufacturing, retail, and more, this pallet jack has oversized, non-marking polyurethane steer & load wheels that protect your floors and a German-engineered pump with hardened chrome piston for long, dependable service.       Tapered 27""W x 42""L forks with entry rollers    Designed for use in 3-shift (24-hour) operations   Durable powder coat finish    1-Year Limited Warranty    Spring-loaded, self-righting safety loop handle enhances comfort & ease of operation";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;707022112956;yes;https://www.globalindustrial.com/p/best-value-pallet-truck-pallet-jack-5500-lb-capacity-27-x-42;Steel;251783;9.1875 in;"5500 lb. weight capacity,""3-function hand control (raise, neutral and lower) with safety loop"",Reinforced for heavy-duty loads";42 in;Pallet Jacks & Trucks > Manual Pallet Jacks & Trucks > Carts & Trucks;;27 in
Steel Hand Truck With Curved Handle & Stair Climbers, 600 Lb. Capacity Global Industrial;241439;139.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/241439.jpg;https://images.globalindustrial.com/images/500x500/241439.jpg,https://images.globalindustrial.com/images/500x500/241439_01.jpg,https://images.globalindustrial.com/images/500x500/241439_02.jpg,https://images.globalindustrial.com/images/500x500/241439_03.jpg,https://images.globalindustrial.com/images/500x500/241439_04.jpg,https://images.globalindustrial.com/images/500x500/241439_05.jpg,https://images.globalindustrial.com/images/500x500/241439_06.jpg,https://images.globalindustrial.com/images/500x500/241439_07.jpg;1 781;Global Industrial;Blue;;in stock;Boost;1000+;Fixed Freight;[Exclusive Brands];"&checkmark; Durable steel construction reinforced with double welding at critical stress points   &checkmark; 14""W x 10"" nose plate   &checkmark; Carries loads of up to 600 lbs.      Make light of heavy cargo with the Global Industrial Steel Hand Truck. Constructed from durable steel, this hand truck comes MIG welded throughout with double welding at critical stress points to withstand rugged, everyday use. It rolls smoothly on 10"" fully pneumatic ball bearing wheels and is equipped with integral Stair Climbers that use continuous friction-reducing belts to ease movement up and down stairs. Featuring a curved handle for easy load control and maneuverability, this hand truck is an ideal solution for warehouses, distribution facilities, and more. Assembly Required. Limited 5-Year Frame Warranty.       24"" folding nose plate extension helps carry oversized cargo  Integral stair climbers use continuous friction-reducing belts  10"" pneumatic wheels roll smoothly over rough surfaces  Rust- and scratch-resistant enamel finish";Hardware > Tools > Dollies & Hand Trucks;707022055659;yes;https://www.globalindustrial.com/p/industrial-strength-steel-hand-truck-curved-handle-with-stair-climbers;Steel;241439;49 in;"Durable steel construction reinforced with double welding at critical stress points,Carries loads of up to 600 lbs.,""14""""W x 10"""" nose plate""";;Hand Trucks > General Purpose Hand Trucks > Carts & Trucks;;22 in
Big Joe WPT45 Electric Power Pallet Jack Truck, 4500 Lb. Capacity, 224AH Batteries;987634;5699.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/30897309.jpg;https://images.globalindustrial.com/images/500x500/30897309.jpg,https://images.globalindustrial.com/images/500x500/987633A.jpg,https://images.globalindustrial.com/images/500x500/987633B.jpg,https://images.globalindustrial.com/images/500x500/987633C.jpg,https://images.globalindustrial.com/images/500x500/987633D.jpg;1 758;Big Joe;Yellow;;in stock;Boost;R3Overall;[Carts & Trucks] {1};;"Power propelled, power lift truck is the logical step-up from a manual truck, as it outperforms two to three operators with manual jacks. 24V AC high-torque drive and lift motors. Multi-function handle allows operation with either hand and features thumb throttle, lift/lower controls, safety reversing switch and horn. Automatic dead-man emergency brake cuts power when handle released. Includes 224AH AGM (absorbed gas mat) maintenance free batteries, battery charger, combination battery discharge/hour meter gauge and key switch. Rolls smoothly on polyurethane steer and load wheels. Features 27""W x 45-1/2""L forks, 3-"" lowered height and 8.2"" raised height. 4500 lb. capacity models have 0.9KW drive and 2.2KW lift motors. Designed to handle slopes up to 10% when Unloaded, 6% when Loaded.";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;;yes;https://www.globalindustrial.com/p/big-joe-electric-power-pallet-truck-pallet-jack-4500-lb-cap-224ah-batteries-987634;Steel;WPT45-224AH;48 in;;70.9 in;Pallet Jacks & Trucks > Powered Pallet Jacks & Trucks > Carts & Trucks;;28 in
"Workbench Top, Birch Butcher Block Square Edge, 96""W x 36""D x 1-1/2"" Thick Global Industrial";318856N;419.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/F2P_318850_01.jpg;https://images.globalindustrial.com/images/500x500/244183AB_11.jpg,https://images.globalindustrial.com/images/500x500/318850.jpg,https://images.globalindustrial.com/images/500x500/F2P_318850_01.jpg,https://images.globalindustrial.com/images/500x500/318850_02.jpg;1 702;Forest Products-Distributors;Brown;;in stock;Boost;1000+;Fixed Freight;[Exclusive Brands];"Birch butcher block bench tops are kiln dried, electronically glued, then cured and sanded smooth. Finished with a penetrating mineral oil protectant. This is and economical all-purpose bench top choice. Tops are available in 1-1/2"" thickness with square edge.";Business & Industrial;707022490535;yes;https://www.globalindustrial.com/p/workbench-top-birch-butcher-block-square-edge-96-in-w-x-36-in-d-x-1-1-2-in-thick;Birch Butcher Block;318856N;1.5 in;;;Bench Tops & Components > Bench Tops > Workbenches & Shop Desks;;96 in
"Self-Propelled Electric Pallet Jack, 4000 lb. Cap., 27""W x 45""L Forks Global Industrial";989069;3999.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/989069.jpg;https://images.globalindustrial.com/images/500x500/989069.jpg,https://images.globalindustrial.com/images/500x500/989069_01.jpg,https://images.globalindustrial.com/images/500x500/989069_02.jpg,https://images.globalindustrial.com/images/500x500/989069_03.jpg,https://images.globalindustrial.com/images/500x500/989069_04.jpg,https://images.globalindustrial.com/images/500x500/989069_05.jpg;1 659;Global Industrial;Yellow;;in stock;Boost;1000+;[Carts & Trucks] {1};[Exclusive Brands];"&checkmark; 4000 lb. weight capacity  &checkmark; Variable-speed with automatic safety release braking system   &checkmark; Multi-function hand control provides access to all functions    Increase productivity & reduce strain with the Global Industrial Self-Propelled Electric Pallet Jack Truck. Equipped with polyurethane drive and load wheels, this electric pallet jack rolls smoothly on surfaces in warehouses, grocery stores, and distribution centers. With just the push of a button, it smoothly lifts and lowers pallets & skids up to 4000-pounds. Maintenance-free AGM batteries power the high-torque 24V DC drive & lift motors that allows operators up to 4 hours of service per charge. When needed the batteries are recharged using an integral 120V AC charger. Limited 1-Year Warranty.     5-7/8W x 45L forks with 27 across forks Keyed switch limits access to approved personnel 3.5 MPH top loaded speed, 3.6 MPH top unloaded speed 3-1/4"" lowered and 7-1/2"" raised heights Two load and one drive non-marking or marring polyurethane wheels 57-1/2 turning radius No assembly required Engineered to travel slopes up to 10% unloaded and 6% when loaded Note: This unit is not recommended to run in temperatures lower than 40 F or higher than 105 F";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;707022459549;yes;https://www.globalindustrial.com/p/self-propelled-electric-pallet-jack-truck-4000-lb-cap;Steel;989069;;Variable-speed with automatic safety release braking system,Multi-function hand control provides access to all functions,4000 lb. weight capacity;;Pallet Jacks & Trucks > Powered Pallet Jacks & Trucks > Carts & Trucks;;27 in
Refrigerated Drinking Fountain with Bottle Filler, Filtered, Global Industrial;761218;1099.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/761218_17.jpg;https://images.globalindustrial.com/images/500x500/761218.jpg,https://images.globalindustrial.com/images/500x500/761218_01.jpg,https://images.globalindustrial.com/images/500x500/761218_02.jpg,https://images.globalindustrial.com/images/500x500/761218_03.jpg,https://images.globalindustrial.com/images/500x500/761218_04.jpg,https://images.globalindustrial.com/images/500x500/761218_05.jpg,https://images.globalindustrial.com/images/500x500/761218_06.jpg,https://images.globalindustrial.com/images/500x500/761218_07.jpg;1 651;Global Industrial;Gray;;in stock;Boost;1000+;[Plumbing & Pumps] {2};[Exclusive Brands];"&checkmark; Includes a comprehensive PFAS & microplastic filter  &checkmark; Chilled drinking fountain & touchless bottle filling station   &checkmark; Keyed access door with no tools needed for filter changes    Provide fresh, filtered, and chilled hydration with the indoor-rated, wall-mounted Global Industrial Refrigerated Drinking Fountain with Bottle Filler. It has a conventional drinking bubbler with push-bar activation on the front and side and a touchless, sensor-activated bottle filling station with a high 1 gal/min fill-rate for an eco-friendly option. This is a refrigerated unit with an adjustable thermostat that makes it ideal for schools, offices, breakrooms, gyms, and spas.   The included 3,600-gallon capacity PFAS and microplastic water filter meets all your filtration requirements&mdash;total PFAS filtration (PFOA+PFOS, PFNA, PFHxS & PFHpA reduction) along with NSF/ANSI 42, 53, & 401 compliance. Check local codes for installation, electrical, plumbing & drainage standards and any restrictions. Limited 1-Year Warranty, Limited 5-Year Warranty on refrigeration system.      8 gal/hr chilling capability using R134a refrigerant  Filter level indicator & display counter tracks single-use plastic bottle quantity saved from waste Smooth laminar-flow flexible safety bubbler   Integrated drain prevents standing water Rust-resistant textured ABS plastic base, stainless steel pan, galvanized steel frame   ADA-compliant, ANSI & NSF certified, UL399 & CAN/CSA 22.2 No. 120 certified  Braille directions on push-bar";Business & Industrial;707022036061;yes;https://www.globalindustrial.com/p/global-wall-mounted-refilling-station-stainless-steel;Stainless Steel;761218;37.875 in;Keyed access door with no tools needed for filter changes,Includes a comprehensive PFAS & microplastic filter,Chilled drinking fountain & touchless bottle filling station;;Drinking Fountains & Coolers > Indoor Drinking Fountains & Bottle Fillers > Indoor Bottle Filling Stations > Plumbing & Pumps;;18 in
"46"" Round Picnic Table, Expanded Metal, Blue Global Industrial";277150BL;949.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/277150BL.jpg;https://images.globalindustrial.com/images/500x500/277150BL_GIITW.jpg,https://images.globalindustrial.com/images/500x500/277150BL.jpg,https://images.globalindustrial.com/images/500x500/277150BL_01.jpg,https://images.globalindustrial.com/images/500x500/277150BL_02.jpg,https://images.globalindustrial.com/images/500x500/277150BL_03.jpg,https://images.globalindustrial.com/images/500x500/277150BL_04.jpg,https://images.globalindustrial.com/images/500x500/277150BL_05.jpg,https://images.globalindustrial.com/images/500x500/277150BL_06.jpg;1 604;Global Industrial;Blue;;in stock;Boost;1000+;[Furniture & Decor] {3};[Exclusive Brands];"&checkmark; 1000-pound weight capacity  &checkmark; Thermoplastic coating on seats and tabletop stays cool in full sun  &checkmark; Strong, lightweight expanded metal mesh promotes air flow    The blue expanded metal Global Industrial 46 Round Outdoor Steel Picnic Table is a heavy-duty seating option that is ideal for schools, camps, parks, break areas, and any outdoor environment requiring seating or dining options. Its expanded metal mesh seats & tabletop helps to reduce weight without sacrificing strength or durability while helping to promote air flow, prevent snow or dust accumulation and limiting moisture & standing water. The tabletop & 4 seats are covered in a smooth, glossy blue thermoplastic material that is fade- & corrosion-resistant and remains cool to the touch even in direct sun, and its tubular steel frame is finished in a contrasting black scratch- & corrosion-resistant powder coat. Limited 7-Year Warranty.    Tabletop accepts umbrella poles up to 1-1/2 diameter 300 lb weight capacity per seat Beveled seat and tabletop corners for safety Pre-drilled mounting brackets to permanently install on any surface Includes all assembly hardware Tabletop measures 46 in diameter 16-1/2 seat height from ground 12 seat depth";4299;707022030489;yes;https://www.globalindustrial.com/p/46in-round-metal-mesh-picnic-table-blue;Expanded Metal;277150BL;29.5 in;"1000-pound weight capacity,Thermoplastic coating on seats and tabletop stays cool in full sun,""Strong, lightweight expanded metal mesh promotes air flow""";84 in;Outdoor Furniture > Outdoor Tables > Picnic Tables > Metal Picnic Tables > Furniture & Decor;;84 in
Commercial Air Scrubber & Negative Air Machine, HEPA Filter, 500 CFM, 115V, Global Industrial;292938;699.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/292938.jpg;https://images.globalindustrial.com/images/500x500/292938.jpg,https://images.globalindustrial.com/images/500x500/292938_01.jpg,https://images.globalindustrial.com/images/500x500/292938_02.jpg,https://images.globalindustrial.com/images/500x500/292938_03.jpg,https://images.globalindustrial.com/images/500x500/292938_04.jpg,https://images.globalindustrial.com/images/500x500/292938_05.jpg,https://images.globalindustrial.com/images/500x500/292938_06.jpg,https://images.globalindustrial.com/images/500x500/292938_07.jpg;1 566;Global Industrial;Blue;;in stock;Boost;1000+;[HVAC & Fans] {2};[Exclusive Brands];"&checkmark; 3-stage filtration system for advanced air purification  &checkmark; Indicator light illuminates when the HEPA filter needs to be replaced   &checkmark; Stackable (up to 3 units) for space-saving storage     The Global Industrial Commercial-Grade Air Scrubber and Negative Air Machine is your solution to delivering advanced levels of air purification for areas in construction, disaster relief, home remodeling, reclamation, reconstruction, and more. Constructed from rotomolded plastic evenly layered in a second skin that's thicker than injection molding, this machine permits higher levels of flexibility and endurance during extreme temperatures or rough impact. It features a 3-stage filtration system that consists of a MERV 9 pre-filter, an activated carbon filter, and a HEPA filter to trap common allergens and eliminate smoke and odors. Ideal for use in commercial or industrial environments, this unit is equipped with two GFCI-protected power outlets, allowing it to be daisy-chained for a maximum of three units on one circuit. When placed as a stand-alone unit, this versatile machine acts as an air scrubber. When attached to ducting, it works as a negative air machine, exhausting filtered air outside the affected area. Limited 1-Year Warranty.    First stage: pleated MERV 9 pre-filter collects and traps pollen, hairs, mold, and larger dust particles Second stage: an activated carbon filter pulls in and helps to eliminate smoke & odors Final stage: a HEPA filter, with a 99.97% efficiency rating against 0.3-micron particles, that catches bacteria, allergens, dust, & fumes Replace the pre-filter every 3 months & the activated carbon filter every 6 months Optional accessories such as flexible ducting (models 292943 & 292944) and a caster conversion kit (model 292942) are sold separately";Business & Industrial;707022403986;yes;https://www.globalindustrial.com/p/global-industrial-8482-commercial-air-scrubber-3-stage-w-hepa-filtration-500-cfm-120v;Plastic;292938;25.5 in;"3-stage filtration system for advanced air purification,Stackable (up to 3 units) for space-saving storage,Indicator light illuminates when the HEPA filter needs to be replaced,""Certifications-ETL, cETL Listed""";;Air Purifiers > HEPA & Media Air Purifiers > HVAC & Fans;;22.5 in
"Self-Propelled Electric Pallet Jack, 3300 lb. Cap., 27""W x 45""L Forks Global Industrial";988993;3849.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/988993_03.jpg;https://images.globalindustrial.com/images/500x500/988993_100.jpg,https://images.globalindustrial.com/images/500x500/988993.jpg,https://images.globalindustrial.com/images/500x500/988993_01.jpg,https://images.globalindustrial.com/images/500x500/988993_02.jpg,https://images.globalindustrial.com/images/500x500/988993_03.jpg,https://images.globalindustrial.com/images/500x500/988993_04.jpg,https://images.globalindustrial.com/images/500x500/988993_05.jpg,https://images.globalindustrial.com/images/500x500/988993_06.jpg;1 552;Global Industrial;;;in stock;Boost;R3Overall;[Carts & Trucks] {1};[Exclusive Brands];"&checkmark; 3300 lb. weight capacity   &checkmark; Variable-speed with automatic safety release braking system    &checkmark; Multi-function hand control provides access to all functions      Increase productivity & reduce strain with the Global Industrial Self-Propelled Electric Pallet Jack Truck. Equipped with polyurethane drive and load wheels, this electric pallet jack rolls smoothly on surfaces in warehouses, grocery stores, and distribution centers. With just the push of a button, it smoothly lifts and lowers pallets & skids up to 3300-pounds. Dual 12V, 65 AH batteries power the system with an integral 120V AC charger with included three prong charging cord allows operators close to 5 hours of service per charge. Limited 1-Year Warranty.       6""W x 45""L forks with 27"" across forks  Keyed switch limits access to approved personnel  2.5 MPH top loaded speed, 2.8 MPH top unloaded speed  3-1/8"" lowered height, 7-1/2"" raised height  Two load and one drive non-marking or marring polyurethane wheels  58-1/2"" turning radius  On-board document holders, cup holder, and phone holder  No assembly required  Not for use on inclines or declines greater than 2 Note: This unit is not recommended to run in temperatures lower than 40 F or higher than 105 F";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;707022354981;yes;https://www.globalindustrial.com/p/global-industrial-8482-self-propelled-electric-pallet-jack-truck-3300-lb-cap-2-60ah-batteries;Steel;988993;48 in;Variable-speed with automatic safety release braking system,Multi-function hand control provides access to all functions,3300 lb. weight capacity;64.3 in;Pallet Jacks & Trucks > Powered Pallet Jacks & Trucks > Carts & Trucks;;27 in
Midland Deluxe NOAA Weather Radio, Black;B3081978;76.95 USD;;in stock;https://images.globalindustrial.com/images/275x275/RHB_WR400.jpg;;1 517;Midland;Black;;in stock;Bury;0;[Safety & Security] {2};;"The WR400 Deluxe NOAA weather radio uses digital S.A.M.E. technology to lock into your county's warning system, giving you instant weather updates from the National Weather Service. The USB output allows you to charge devices directly from the radio. Program up to 25 counties with 80 different emergency alerts. The WR400 is Midland's most advanced emergency weather alert radio.  Features: &lt;ul Style=""Margin-Top: 0px; Padding-Top: 5px; Padding-Bottom: 5px;"">S.A.M.E. digital technologyProgram up to 25 different counties/provincesCustomized alerts85 dB sirenEmergency power backup (requires 4 AA batteries, not included)Instant info from the National Weather ServiceAM/FM radio with alarm buzzerColor coded alert level indicatorsWhat's In The Box &lt;ul style=""Margin-Top: 0px; Padding-Top: 5px; Padding-Bottom: 5px;"">WR400 emergency alert weather radioAC power adapterOwner's manual";Business & Industrial;46014744004;yes;https://www.globalindustrial.com/p/deluxe-noaa-weather-radio-black;;WR400;6.8125 in;;;Two Way Radios > Two Way Radios > Safety & Security;;5.5 in
"Semi-Electric Pallet Jack, 3300 lb. Capacity, 27""W x 48""L Forks Global Industrial";989068;1999.00 USD;;in stock;https://images.globalindustrial.com/images/275x275/989068.jpg;https://images.globalindustrial.com/images/500x500/989068.jpg,https://images.globalindustrial.com/images/500x500/989068_01.jpg,https://images.globalindustrial.com/images/500x500/989068_02.jpg,https://images.globalindustrial.com/images/500x500/989068_03.jpg,https://images.globalindustrial.com/images/500x500/989068_04.jpg,https://images.globalindustrial.com/images/500x500/989068_05.jpg,https://images.globalindustrial.com/images/500x500/989068_06.jpg,https://images.globalindustrial.com/images/500x500/989068_07.jpg;1 492;Global Industrial;Yellow;;in stock;Boost;0;Fixed Freight;[Exclusive Brands];"&checkmark; 3300 lb. weight capacity   &checkmark; Variable speed magnetic drive motor    &checkmark; 3-function hand control: Raise, Neutral, Lower      Ideal for use in construction, manufacturing, retail, and more, the Global Industrial Semi-Electric Pallet Jack features a manual lift & lower hydraulic system with a battery-powered drive system that makes moving heavy loads easier with less worker strain. An emergency belly switch reverses the truck if the operator is accidentally pinned against a wall or obstruction. It is equipped with a strong & durable steel frame that allows users to raise and lower pallets or skids up to 3300-pounds. The total width of the truck is 27"", making it ideal for larger pallets and skids while still being able to fit through most single doorways.   The smooth-rolling polyurethane steer and load wheels ensure floors remain unmarked and the spring-loaded, self-righting handle provides access to all the controls and acts as a dead-man switch when the handle is released. Dual 12V, 30 Ah batteries power the drive motor that allows operators up to 3 hours of service per charge. When needed, the batteries are recharged using an integral 120V AC charger. 6 Month Parts/Labor & 1 Year Frame/Drivetrain Limited Warranty      Keyed switch prevents unauthorized use  Battery level indicator & horn  3"" lowered height, 7-1/2"" raised height  Tapered 6""W x 48""L forks with just 27"" across forks   2 MPH loaded & 2.5 MPH unloaded travel speed   One drive & two load wheels  56"" turning radius  No assembly required";Business & Industrial > Material Handling > Lifts & Hoists > Jacks & Lift Trucks;;yes;https://www.globalindustrial.com/p/semi-electric-pallet-jack-truck-3300-lb-capacity;Steel;989068;50.125 in;3-function hand control: Raise, Neutral, Lower,Variable speed magnetic drive motor,3300 lb. weight capacity;62 in;Pallet Jacks & Trucks > Powered Pallet Jacks & Trucks > Carts & Trucks;;27 in
